"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"czarownica";0,00101879249744412;0;0;0;0;0,0010806996184441;0;0,00163887666824344;0;0,00316609360744172;0,037471541394433;0;0;0,0208778636432751;0,0576229036554393;0;0;0;0
"czary";0,00689093531848003;0;0;0;0;0;0;0;0;0;0,00312902457942542;0;0;0;0;0;0;0;0
"czas";0,00108533672578345;0,00101122881492978;0,00241625346644278;0,00246413957973314;0,00075785981741126;0,00793109111244342;0,00204417732968072;0,00116394852503436;0,00487195596907238;0,0014990633750992;0,000985655831893257;0;0,00155724620016012;0;0;0,00406965295745903;0,00171807011503812;0,00450709583041939;0
"czekac";0,00132382692373789;0,000925075992174637;0,00505233811110763;0;0;0;0,00374004249783292;0;0,0178275359063369;0,00137134891587207;0,00480896922328935;0;0;0;0;0;0,00314339424041205;0;0
"czemu";0;0;0,00657475205150523;0;0;0;0;0;0;0;0,00625804915885084;0;0;0;0;0;0;0;0
"czerwony";0,00114848921974667;0;0;0;0;0;0;0;0;0,00713830222734854;0;0;0;0;0;0;0;0;0
"czesc";0,000794882430496317;0;0;0;0;0,00337273445377882;0;0,00255736918480499;0;0;0;0;0;0,0325786596151244;0;0;0;0;0
"czesty";0;0;0;0;0;0,00399544638067881;0;0;0;0;0;0;0;0,0385936958365569;0;0;0;0;0,0210511068199402
"czlonek";0,000794882430496317;0,00666546334601508;0;0;0;0;0;0,00255736918480499;0;0;0;0;0,00513225459690316;0;0;0;0;0;0
"czlowiek";0,00114356702121776;0;0,00218219131984063;0;0;0,000808704060015959;0;0,0012263964869184;0;0,00118461814505634;0,00311561419653547;0;0,0024611929497746;0;0;0,0077183950739948;0;0;0,0127826384822285
"czolo";0,000941642508034805;0;0,00269530871733039;0;0;0;0;0;0;0,00292633517881586;0;0;0;0;0;0;0;0;0
"cztery";0,00235214287513781;0;0,00168316296834254;0;0;0;0;0;0;0,00182743407991476;0,0032041715081357;0;0,00379672377333888;0;0;0,00396889024516093;0;0;0
"czuc";0,00136209294098743;0;0;0;0;0,00288972155822389;0;0;0;0,00423296575506862;0;0;0;0;0;0;0,00485138392583431;0,00848457893637103;0
"czwarty";0,00114848921974667;0;0;0;0;0,0073096643213284;0;0;0;0;0;0;0;0;0;0;0;0;0
"czworka";0,00188328501606961;0;0;0;0;0,00399544638067881;0;0;0;0;0;0;0;0;0;0;0;0;0,0105255534099701
"czy";0,00152818874616618;0,00213576366402666;0;0;0,00320127242530218;0;0;0,00163887666824344;0;0;0,00416350459938145;0;0;0,0208778636432751;0;0;0,00362864632590927;0;0
"czytac";0;0,00499909750951131;0;0;0,00249769723715954;0;0;0;0;0,00247025001477317;0;0;0;0;0;0;0;0;0,00888508898594303
"dac";0,000441275641245964;0,00370030396869855;0,00252616905555382;0,00541009037620051;0,00138658612604843;0,00187235936000538;0;0;0;0;0,00240448461164467;0;0,00284914957407211;0;0;0;0;0;0
"daleki";0,000588035718784452;0,0012327390754058;0;0;0;0,00124753564345269;0;0,00189188283586169;0;0,00182743407991476;0;0;0;0;0;0;0;0;0,0065729842400096
"daleko";0,00203758499488823;0,00106788183201333;0,00729034712239869;0;0;0;0;0;0;0,00633218721488344;0,00277566973292097;0;0,00328897851914608;0;0;0;0;0;0,0056939628118023
"data";0,00114848921974667;0;0;0;0;0,00243655477377613;0;0;0;0;0;0;0;0;0;0;0;0;0
"dawac";0,00101879249744412;0,00533940916006665;0,00291613884895948;0;0,00160063621265109;0;0,00143913345792805;0,00491663000473031;0;0;0;0;0;0;0;0;0;0,0126922695276298;0
"dawny";0,000941642508034805;0,00197402891973494;0;0;0,00295885001413603;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dean";0;0,00722296704249871;0;0;0,0216528500896239;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"decydowac";0,000681046470493714;0,00142772380915954;0;0;0,00641999806185408;0;0;0;0;0,00211648287753431;0;0;0;0;0;0;0;0;0,0152252918462943
"decyzja";0,00158976486099263;0;0;0;0;0,00168636722688941;0,00224568183161197;0;0;0;0;0;0;0;0;0;0;0,00990276437640346;0
"dementora";0,00114848921974667;0;0;0;0;0;0,00324468283061297;0;0;0;0;0;0;0;0;0;0;0;0
"dementorami";0;0,0024076556808329;0;0;0;0;0,00648936566122595;0;0;0;0;0;0;0;0;0;0;0;0
"dementorow";0;0,00166636583650377;0;0;0,00249769723715954;0;0,00898272732644789;0,00255736918480499;0;0;0;0;0;0;0;0;0;0;0
"dementorzy";0;0,00197402891973494;0;0;0;0,00399544638067881;0,0106412188320577;0;0;0;0;0;0;0;0;0;0;0;0
"departament";0,00158976486099263;0;0;0;0,00249769723715954;0,00337273445377882;0;0,00767210755441497;0;0;0;0;0;0;0;0;0;0;0
"deszcz";0,000794882430496317;0,00166636583650377;0;0,00324845016393582;0;0;0;0;0;0;0,00216563344262388;0;0;0;0;0;0;0;0
"diggory";0,00344546765924001;0;0;0;0;0,00487310954755227;0;0;0;0;0;0;0;0;0;0;0;0;0
